city_id,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
172,Yangi Marg`ilon,0,UZ,1619126789,70,40.4272,71.7189,51.8,3.11
173,Lázaro Cárdenas,61,MX,1619126040,34,17.9583,-102.2,86.99,10.87
174,Kaitangata,100,NZ,1619126696,91,-46.2817,169.8464,55.99,7.0
175,Saint Anthony,1,US,1619126695,20,45.0205,-93.218,64.4,16.11
176,Mackay,90,AU,1619126795,88,-21.15,149.2,69.8,8.05
177,Point Pedro,81,LK,1619126796,81,9.8167,80.2333,82.29,11.18
178,St. George's,20,GD,1619126677,70,12.0564,-61.7485,84.2,25.32
179,El Campo,90,US,1619126799,64,29.1966,-96.2697,71.01,13.8
180,Vila,76,PT,1619126238,87,42.0304,-8.1588,54.0,3.89
181,Ko Samui,81,TH,1619126801,76,9.5357,99.9357,82.8,15.12
182,Bardsīr,0,IR,1619126803,25,29.9227,56.5743,60.8,4.61
183,Saint-Philippe,90,RE,1619126700,83,-21.3585,55.7679,77.0,17.27
184,Ayan,100,RU,1619126805,89,56.45,138.1667,28.51,4.18
185,Clyde River,75,CA,1619126542,79,70.4692,-68.5914,15.8,5.75
186,Stromness,40,GB,1619126808,81,58.965,-3.296,41.0,1.14
187,Vung Tau,100,VN,1619126809,78,10.346,107.0843,81.82,9.55
188,Kaeo,99,NZ,1619126811,96,-35.1,173.7833,57.99,4.94
189,Tuatapere,99,NZ,1619126729,97,-46.1333,167.6833,46.99,5.99
190,Port Hardy,20,CA,1619126813,71,50.6996,-127.4199,51.8,5.75
191,Ribeira Grande,40,PT,1619126546,72,38.5167,-28.7,59.0,33.38
192,Jiayuguan City,15,CN,1619126816,30,39.8167,98.3,50.05,9.8
193,Yar-Sale,100,RU,1619126817,87,66.8333,70.8333,35.19,18.01
194,Narsaq,75,GL,1619126694,26,60.9167,-46.05,53.6,14.97
195,San Jerónimo,62,PE,1619126820,51,-11.9472,-75.2829,61.79,6.4
196,Denpasar,20,ID,1619126264,73,-8.65,115.2167,77.0,1.14
197,Kushikino,75,JP,1619126823,77,31.7167,130.2667,60.8,9.22
198,Annau,75,TM,1619126824,20,37.8876,58.516,64.4,9.22
199,Half Moon Bay,75,US,1619126172,93,37.4636,-122.4286,63.0,5.75
200,Camaquã,1,BR,1619126827,70,-30.8511,-51.8122,68.7,9.08
201,Batagay,100,RU,1619126829,94,67.6333,134.6333,7.93,2.53
202,Anloga,20,GH,1619126830,84,5.7947,0.8973,84.2,10.36
203,Novikovo,90,RU,1619126831,70,51.1537,37.8879,50.85,6.06
204,Kumul,98,CN,1619126251,32,42.8,93.45,45.57,11.68
205,Mehamn,40,NO,1619126769,64,71.0357,27.8492,35.6,8.05
206,El Alto,0,PE,1619126835,57,-4.2714,-81.2147,82.4,19.57
207,Odienné,100,CI,1619126724,68,9.51,-7.5692,78.26,2.39
208,Kaka,62,TM,1619126838,20,37.3482,59.6143,62.56,7.63
209,Oranjestad,20,AW,1619126839,70,12.524,-70.027,84.2,21.85
210,Tūkrah,100,LY,1619126841,31,32.5341,20.5791,71.31,19.37
211,Kununurra,75,AU,1619126710,68,-15.7667,128.7333,69.8,4.61
212,Buala,86,SB,1619126843,79,-8.145,159.5921,81.7,6.11
213,Raudeberg,100,NO,1619126845,92,61.9875,5.1352,36.0,11.86
214,Haines Junction,0,CA,1619126846,27,60.7522,-137.5108,46.4,4.61
215,Masaki,75,JP,1619126848,59,33.7876,132.7112,60.8,5.75
216,Velyka Bahachka,51,UA,1619126849,70,49.7912,33.7226,50.58,8.28
217,Yārāda,40,IN,1619126696,89,17.65,83.2667,82.4,4.61
218,Khilok,100,RU,1619126852,97,51.3674,110.4676,27.81,2.8
219,Biak,100,ID,1619126853,84,-0.9131,122.8766,76.1,5.17
220,Vanavara,96,RU,1619126855,89,60.34,102.2797,25.34,7.72
221,Lorengau,100,PG,1619126634,80,-2.0226,147.2712,81.79,5.7
222,Torbay,90,CA,1619126691,87,47.6666,-52.7314,41.0,23.02
223,Mahébourg,75,MU,1619126859,94,-20.4081,57.7,77.0,5.75
224,Pacific Grove,90,US,1619126671,67,36.6177,-121.9166,57.99,14.97
225,Puerto Baquerizo Moreno,20,EC,1619126862,70,-0.9,-89.6,86.0,13.8
226,Uchaly,100,RU,1619126863,71,54.2996,59.4521,40.03,10.78
227,West Wendover,1,US,1619126854,11,40.7391,-114.0733,64.4,11.5
228,Sun Valley,1,US,1619126866,10,39.5963,-119.776,69.8,14.97
229,Goderich,72,CA,1619126846,56,43.7501,-81.7165,37.4,9.22
230,Mahajanga,40,MG,1619126869,78,-15.7167,46.3167,78.8,3.44
231,Vao,16,NC,1619126701,75,-22.6667,167.4833,74.1,7.96
232,Thinadhoo,77,MV,1619126871,64,0.5333,72.9333,82.83,9.78
233,Pisco,0,PE,1619126873,73,-13.7,-76.2167,71.6,20.71
234,Guerrero Negro,3,MX,1619126663,52,27.9769,-114.0611,65.84,18.45
235,Verāval,87,IN,1619126875,80,20.9,70.3667,79.41,11.48
236,Kulhudhuffushi,13,MV,1619126877,72,6.6221,73.07,83.66,8.41
237,Pyaozerskiy,90,RU,1619126878,97,65.8333,31.1667,31.23,2.53
238,Bichura,100,RU,1619126880,94,50.5881,107.6022,26.04,4.5
239,Estelle,40,US,1619126881,48,29.8458,-90.1067,68.0,12.66
240,Norman Wells,75,CA,1619126883,50,65.282,-126.8329,26.6,12.66
241,Tautira,20,PF,1619126669,62,-17.7333,-149.15,87.8,5.75
242,Los Llanos de Aridane,90,ES,1619126699,73,28.6585,-17.9182,69.8,4.61
243,Salinópolis,100,BR,1619126628,87,-0.6136,-47.3561,77.09,6.04
244,Nara,0,JP,1619126888,62,34.6851,135.8049,55.99,5.75
245,Honningsvåg,75,NO,1619126889,93,70.9821,25.9704,32.0,5.75
246,Ancud,75,CL,1619126891,100,-41.8697,-73.8203,53.01,8.05
247,Bethel,75,US,1619126512,34,41.3712,-73.414,46.4,12.66
